Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%)
Civil Service administrator,Education,Decreasing,Moderate,76557.28,Bachelor’s Degree,7,8346,8275,38.6,56.43,Germany,76.57
Telecommunications researcher,Education,Decreasing,High,94387.77,Associate Degree,20,3371,6048,50.87,77.8,UK,63.77
Building services engineer,Education,Decreasing,Low,101884.81,Master’s Degree,9,6341,2578,60.78,30.59,Brazil,49.3
Artist,Finance,Decreasing,Low,84790.99,Associate Degree,1,6128,8103,78.97,81.13,Germany,72.69
Tree surgeon,Retail,Increasing,Low,75688.12,Associate Degree,9,5074,5912,41.2,53.46,Canada,23.42
Chief Financial Officer,IT,Decreasing,Low,117834.45,Bachelor’s Degree,12,1612,7399,85.64,11.85,Brazil,46.8
Medical laboratory scientific officer,Education,Increasing,Moderate,106977.76,PhD,17,9695,6636,39.03,73.14,Brazil,43.89
"Education officer, environmental",Manufacturing,Increasing,Moderate,102588.42,Bachelor’s Degree,20,643,946,19.25,18.93,Brazil,38.53
"Social research officer, government",Healthcare,Increasing,Low,112442.19,Bachelor’s Degree,19,5089,6647,29.78,7.33,USA,57.49
"Geologist, wellsite",Manufacturing,Decreasing,High,86191.79,Associate Degree,15,6545,9778,72.03,85.21,USA,43.26
"Development worker, international aid",Education,Increasing,Low,107399.22,Master’s Degree,17,8752,316,4.7,37.25,Canada,63.76
Bonds trader,Healthcare,Increasing,Low,102828.24,PhD,1,720,8881,82.84,20.33,UK,58.33
Speech and language therapist,Entertainment,Increasing,Moderate,74931.11,Master’s Degree,0,6054,2974,57.71,76.22,India,47.2
Secondary school teacher,Transportation,Decreasing,Moderate,110774.68,Master’s Degree,16,6697,8089,99.24,19.42,India,23.26
Clinical cytogeneticist,Finance,Increasing,Moderate,105958.15,Bachelor’s Degree,8,894,7234,37.26,60.37,USA,38.35
Commercial horticulturist,Transportation,Decreasing,High,93857.21,Bachelor’s Degree,16,2842,7630,79.05,41.68,UK,46.11
"Horticulturist, amenity",Entertainment,Decreasing,High,109000.02,Bachelor’s Degree,17,5034,1159,73.71,0.0,Brazil,50.54
Dancer,Manufacturing,Decreasing,Low,83866.68,Associate Degree,16,6680,1882,62.64,83.23,Germany,70.47
Airline pilot,Education,Increasing,Low,110322.48,Master’s Degree,19,8000,6949,99.25,26.83,UK,34.84
Information officer,Education,Decreasing,High,85686.87,Master’s Degree,3,3359,7405,99.86,62.42,Australia,31.36
Fashion designer,Education,Decreasing,Moderate,79008.84,High School,20,187,8391,28.04,74.51,Brazil,61.85
Exercise physiologist,Entertainment,Decreasing,High,74380.14,Associate Degree,4,8103,8671,49.91,65.03,China,53.06
Corporate investment banker,Finance,Decreasing,Moderate,120637.24,Associate Degree,19,6151,3584,37.95,0.0,China,63.42
Higher education lecturer,Retail,Decreasing,High,52688.8,High School,1,1808,577,75.11,88.06,Canada,66.26
"Programmer, applications",Entertainment,Decreasing,Low,83473.4,Bachelor’s Degree,13,6687,1276,9.28,79.12,Brazil,40.19
Trade mark attorney,Finance,Increasing,Low,104140.87,PhD,2,3382,6434,73.3,60.02,India,59.9
"Biochemist, clinical",IT,Decreasing,Moderate,104130.44,High School,15,3585,1014,31.82,40.53,USA,42.28
Clinical psychologist,Entertainment,Decreasing,High,111939.23,PhD,19,856,7637,63.39,0.0,China,35.28
Ceramics designer,Healthcare,Decreasing,Low,94574.71,Bachelor’s Degree,13,6000,9056,30.69,89.02,Canada,37.16
Amenity horticulturist,Finance,Increasing,High,97734.33,High School,4,8785,2394,3.22,6.18,India,30.08
Pension scheme manager,Entertainment,Decreasing,Low,68608.8,Associate Degree,6,4518,7454,48.62,90.8,Brazil,66.01
Chartered accountant,Retail,Decreasing,High,63102.44,High School,0,8832,7969,99.42,50.66,UK,28.61
"Psychologist, occupational",Entertainment,Decreasing,Low,126342.03,PhD,19,2352,2231,45.38,47.24,China,54.7
"Designer, ceramics/pottery",Healthcare,Increasing,High,94396.96,PhD,4,4927,9478,10.25,66.44,USA,69.8
Television/film/video producer,Manufacturing,Decreasing,Low,90300.5,Bachelor’s Degree,12,2600,5431,93.22,55.91,Canada,67.96
Armed forces training and education officer,Finance,Increasing,High,116593.93,Bachelor’s Degree,20,6882,5523,63.96,63.65,Germany,37.39
Waste management officer,Education,Decreasing,High,112280.41,Master’s Degree,18,9815,6675,27.12,33.8,Australia,55.58
Financial planner,Entertainment,Increasing,Low,64473.77,High School,1,1835,3413,37.69,67.51,UK,67.16
Tourist information centre manager,Healthcare,Increasing,Low,109378.43,PhD,20,6620,8446,70.77,0.0,Brazil,26.35
"Biochemist, clinical",Education,Increasing,Moderate,64533.43,High School,6,803,4587,52.44,56.09,India,39.57
Biomedical engineer,Education,Increasing,High,98223.98,Associate Degree,14,4309,1216,51.06,18.29,China,45.32
Early years teacher,Retail,Increasing,High,109685.56,PhD,8,5980,2665,39.89,0.82,Canada,63.53
"Engineer, drilling",Transportation,Decreasing,Moderate,105154.32,PhD,10,507,4240,21.35,0.0,USA,61.73
Chief Operating Officer,Manufacturing,Increasing,Low,94986.63,PhD,6,7952,1437,16.32,86.69,Canada,63.96
Glass blower/designer,IT,Decreasing,Moderate,109281.15,Bachelor’s Degree,0,7980,3708,84.4,26.48,Canada,54.8
Museum education officer,Transportation,Decreasing,Low,53322.58,High School,4,3786,2962,69.06,92.55,Australia,51.17
Animator,Healthcare,Decreasing,Moderate,112095.25,PhD,16,2104,4683,12.9,39.42,India,20.42
Physiotherapist,Transportation,Increasing,High,79480.48,Master’s Degree,7,6903,7268,29.4,69.81,Canada,79.45
Horticultural consultant,Entertainment,Increasing,Moderate,88760.09,Bachelor’s Degree,0,7410,9775,36.31,20.3,Brazil,20.76
Health service manager,Entertainment,Increasing,Moderate,65727.75,High School,8,9681,396,8.69,71.92,UK,34.73
Chief Operating Officer,Transportation,Decreasing,High,87688.87,High School,15,4512,9933,29.98,25.11,USA,21.98
"Surveyor, building control",Retail,Increasing,Low,86919.74,Master’s Degree,5,5721,5552,10.33,62.98,Canada,78.48
Furniture conservator/restorer,Retail,Decreasing,High,94638.41,PhD,6,6327,7324,12.41,52.22,Germany,67.13
Adult guidance worker,Transportation,Decreasing,High,61560.41,High School,9,8565,9116,3.09,56.66,Canada,28.34
Meteorologist,Finance,Decreasing,High,104929.49,Associate Degree,14,5467,3036,76.7,38.75,China,26.57
Landscape architect,Healthcare,Decreasing,High,94250.09,High School,18,9620,7573,1.27,0.0,Germany,38.96
Chartered certified accountant,Transportation,Increasing,Moderate,76186.05,Bachelor’s Degree,5,9640,4776,24.08,37.05,India,72.25
Management consultant,Entertainment,Decreasing,Moderate,112113.65,Master’s Degree,20,6919,1235,12.05,45.02,UK,40.98
Physiotherapist,Manufacturing,Decreasing,High,82704.4,Master’s Degree,1,4962,1063,12.24,15.33,Germany,28.62
Fashion designer,Healthcare,Increasing,High,112375.88,PhD,20,6104,2882,84.89,54.64,China,73.35
Training and development officer,Education,Decreasing,Moderate,77256.76,Associate Degree,5,593,7846,56.84,0.38,Canada,56.48
Production manager,Manufacturing,Decreasing,High,94428.95,Bachelor’s Degree,8,5930,2689,20.18,13.17,USA,76.38
"Engineer, petroleum",Education,Decreasing,Low,71215.89,Bachelor’s Degree,2,6017,3175,0.23,61.54,Germany,54.68
Financial adviser,Finance,Increasing,Low,99352.64,PhD,3,3615,8092,74.8,70.04,UK,55.5
Financial risk analyst,Transportation,Increasing,Moderate,101130.38,Associate Degree,19,3873,2739,18.21,13.96,Germany,78.5
Event organiser,IT,Decreasing,Moderate,122002.27,High School,19,4076,7540,9.9,19.96,Brazil,48.21
Financial manager,Entertainment,Increasing,Low,90897.4,High School,16,6592,1272,21.49,30.2,UK,36.84
"Administrator, local government",Manufacturing,Increasing,High,112731.31,PhD,5,1097,7193,58.95,11.68,China,26.03
Television/film/video producer,Manufacturing,Decreasing,Moderate,94470.86,Associate Degree,13,4545,7838,24.97,0.43,Canada,79.78
"Loss adjuster, chartered",Manufacturing,Decreasing,High,82963.98,PhD,1,2909,8029,35.21,76.73,UK,26.42
Patent examiner,Healthcare,Increasing,Moderate,74700.65,High School,4,2479,6425,36.85,25.54,India,53.14
"Scientist, product/process development",Healthcare,Increasing,High,112846.2,PhD,14,750,1582,44.69,46.1,Australia,45.11
Sports coach,Education,Increasing,Low,68165.03,High School,10,6803,1032,81.2,91.68,Brazil,46.56
Science writer,Manufacturing,Increasing,High,87262.98,Associate Degree,18,9395,4101,79.51,83.81,Canada,46.86
Medical physicist,Entertainment,Decreasing,High,79621.64,High School,12,1427,4586,35.71,63.96,Canada,25.12
Leisure centre manager,Finance,Decreasing,Moderate,100187.37,Bachelor’s Degree,4,8135,8401,13.01,49.38,USA,40.55
Dance movement psychotherapist,Transportation,Increasing,Moderate,84689.99,Bachelor’s Degree,10,273,1939,59.53,81.91,Australia,62.35
"Engineer, civil (consulting)",Finance,Decreasing,Moderate,76900.63,High School,2,9451,4124,43.97,49.22,India,67.59
Speech and language therapist,IT,Increasing,Low,113227.26,PhD,9,6001,5838,56.76,67.47,India,20.83
Film/video editor,IT,Decreasing,Low,116937.43,PhD,3,2110,389,46.05,12.06,Germany,49.44
Minerals surveyor,Manufacturing,Decreasing,High,94580.36,Bachelor’s Degree,8,1278,109,47.38,31.29,UK,74.1
Energy engineer,Transportation,Increasing,Low,92274.93,PhD,1,7784,1630,7.55,12.81,Australia,33.33
Intelligence analyst,Education,Increasing,Moderate,95558.92,Associate Degree,18,623,976,36.33,11.21,USA,42.17
Catering manager,Healthcare,Decreasing,High,100620.18,Bachelor’s Degree,12,2374,9105,74.12,16.96,India,65.14
Banker,Entertainment,Increasing,Low,83860.74,Associate Degree,9,3882,6267,45.43,42.95,Brazil,74.52
Professor Emeritus,Manufacturing,Increasing,Low,111105.0,PhD,16,8208,3879,86.5,37.71,Australia,41.01
Secretary/administrator,Education,Increasing,High,108718.4,Master’s Degree,20,219,9351,70.43,31.53,Australia,78.1
Rural practice surveyor,Retail,Increasing,Moderate,110728.59,PhD,10,5964,7519,18.52,37.38,Germany,58.12
Garment/textile technologist,Finance,Decreasing,Low,106926.39,Master’s Degree,11,474,5485,28.0,85.53,USA,33.99
"Conservation officer, nature",Education,Decreasing,Moderate,61893.42,Associate Degree,0,6132,545,95.57,85.66,USA,24.48
Science writer,Manufacturing,Decreasing,High,108187.19,PhD,17,8580,690,21.71,43.09,Australia,40.92
Advertising art director,Retail,Increasing,Moderate,110953.42,Master’s Degree,20,126,4478,48.6,7.65,Canada,21.75
Metallurgist,Healthcare,Increasing,High,78478.47,High School,10,2475,2228,54.44,40.75,Canada,77.11
"Teacher, English as a foreign language",Retail,Decreasing,High,75300.26,Associate Degree,13,4667,3073,17.53,82.39,Australia,75.21
"Surveyor, planning and development",Education,Decreasing,High,83335.08,Bachelor’s Degree,4,8243,8669,29.58,2.92,USA,56.69
Historic buildings inspector/conservation officer,Retail,Increasing,Moderate,99098.09,Bachelor’s Degree,18,8283,5074,34.54,17.5,Germany,40.93
Theatre manager,Healthcare,Increasing,Low,105496.62,High School,20,9875,5596,60.87,31.3,Canada,27.47
"Psychologist, educational",Manufacturing,Increasing,Moderate,94722.36,PhD,0,4071,4123,37.43,38.78,China,38.14
Publishing rights manager,Entertainment,Decreasing,Low,76889.39,Associate Degree,5,5882,765,75.48,14.21,USA,69.67
Television production assistant,Manufacturing,Decreasing,Moderate,111547.86,Master’s Degree,17,3799,5331,11.48,0.0,Canada,47.94
Public relations account executive,Finance,Decreasing,High,93101.3,High School,1,630,3294,54.61,30.17,Germany,75.92
Gaffer,Transportation,Decreasing,Moderate,75482.29,Bachelor’s Degree,2,1703,9351,47.25,41.7,UK,73.31
Psychiatrist,Transportation,Decreasing,Moderate,97049.93,High School,20,7372,4556,34.35,4.73,Australia,24.0
Estate agent,Manufacturing,Increasing,Moderate,108592.49,PhD,19,9005,3252,7.04,77.41,Australia,55.24
Bookseller,Education,Decreasing,High,88364.22,Associate Degree,14,5479,5478,20.92,42.77,UK,54.95
Printmaker,IT,Increasing,Moderate,97455.79,High School,6,1355,3736,9.17,25.43,UK,21.01
IT technical support officer,Retail,Decreasing,Moderate,74938.8,Associate Degree,9,2873,2281,10.24,81.0,Australia,59.21
Private music teacher,Entertainment,Decreasing,High,95292.84,PhD,1,8470,376,89.81,36.59,Canada,67.47
Cabin crew,Healthcare,Decreasing,High,94303.0,PhD,3,3781,6917,89.74,67.62,China,47.94
"Editor, magazine features",Retail,Decreasing,Low,118837.55,PhD,20,4743,1116,26.19,11.95,China,54.81
Physiotherapist,Education,Decreasing,Low,84407.07,Associate Degree,13,6968,1072,84.94,62.32,Australia,30.99
Database administrator,Education,Decreasing,Low,67196.27,High School,8,1355,9479,2.75,93.89,UK,68.44
Technical author,IT,Increasing,Moderate,124906.9,High School,19,6427,7391,92.54,0.0,USA,70.35
Textile designer,Manufacturing,Decreasing,Low,84180.09,Associate Degree,14,7355,3958,47.02,73.99,China,23.56
Haematologist,Manufacturing,Increasing,Low,94461.34,PhD,2,3910,2375,6.71,36.3,UK,35.6
Industrial/product designer,Entertainment,Increasing,Low,101069.59,PhD,7,8492,8532,18.25,53.91,Australia,36.24
Statistician,Entertainment,Decreasing,High,83719.94,Bachelor’s Degree,10,4629,539,32.73,75.74,Germany,58.62
"Nurse, learning disability",Transportation,Increasing,Low,84673.03,PhD,1,745,8441,18.35,86.22,China,47.05
Broadcast presenter,Entertainment,Increasing,Moderate,64068.61,High School,0,8023,4749,86.24,12.51,China,70.82
Ergonomist,Transportation,Decreasing,Low,72272.1,Associate Degree,13,2192,2906,23.79,62.86,Canada,64.65
"Solicitor, Scotland",Manufacturing,Increasing,Moderate,69034.58,High School,1,5307,3343,82.48,2.11,Brazil,71.13
"Scientist, physiological",Manufacturing,Decreasing,Low,87606.53,Bachelor’s Degree,9,1584,6173,55.34,61.43,USA,27.45
Publishing rights manager,Entertainment,Decreasing,Moderate,61905.79,High School,7,1254,6602,18.06,65.71,India,27.49
"Research officer, government",Healthcare,Increasing,High,94490.61,Associate Degree,15,9676,2125,56.66,42.14,UK,59.5
Amenity horticulturist,Transportation,Decreasing,High,87170.99,PhD,8,244,4067,5.44,73.56,Australia,71.5
"Scientist, research (medical)",Entertainment,Increasing,High,90374.78,Bachelor’s Degree,9,3324,4705,53.18,52.55,India,78.61
Training and development officer,Education,Decreasing,Low,94784.75,PhD,1,2415,5303,9.72,4.05,UK,25.48
Applications developer,Manufacturing,Decreasing,High,112672.99,Bachelor’s Degree,19,9345,4093,26.93,26.31,China,55.79
Chief Operating Officer,Transportation,Increasing,Moderate,53422.63,High School,0,7842,318,13.38,76.3,India,42.33
Commissioning editor,Retail,Decreasing,Low,104769.04,PhD,12,5052,8981,63.0,43.65,USA,21.19
"Embryologist, clinical",Manufacturing,Increasing,Low,83096.16,Associate Degree,10,986,9955,45.19,79.01,UK,48.09
Pensions consultant,Entertainment,Increasing,Low,92548.69,High School,17,5534,8523,34.58,0.0,Australia,23.63
"Surveyor, building",Education,Decreasing,Low,102835.32,PhD,17,3908,9219,43.33,71.48,USA,75.9
Materials engineer,Retail,Increasing,Low,92485.76,Bachelor’s Degree,13,5167,6853,58.67,47.45,Australia,38.8
Medical secretary,Education,Decreasing,High,70582.58,Bachelor’s Degree,5,1727,2158,53.5,97.3,UK,64.95
Clothing/textile technologist,Healthcare,Increasing,Low,112521.77,PhD,11,8485,6366,37.43,27.02,UK,72.88
Public relations officer,Transportation,Increasing,Low,83293.68,Bachelor’s Degree,9,2197,2396,17.51,47.73,UK,56.06
"Teacher, English as a foreign language",Retail,Decreasing,Moderate,72172.37,Associate Degree,11,7349,1022,16.06,87.55,Brazil,72.37
Restaurant manager,Healthcare,Decreasing,Low,96715.72,Bachelor’s Degree,19,2199,6091,32.02,65.82,India,54.63
Medical technical officer,Healthcare,Decreasing,High,111761.31,PhD,5,1421,9541,40.02,4.45,China,79.91
Herpetologist,Transportation,Increasing,Moderate,64041.66,High School,1,9652,5954,47.75,6.41,UK,23.81
Water quality scientist,Healthcare,Increasing,Moderate,83159.91,High School,11,8165,6521,51.53,25.53,UK,57.11
Diagnostic radiographer,Education,Decreasing,High,111768.11,PhD,10,705,2425,37.92,0.0,Brazil,28.31
Water quality scientist,Transportation,Decreasing,High,75836.65,Associate Degree,13,8977,9686,15.56,66.52,China,41.56
Insurance account manager,Manufacturing,Decreasing,Low,99097.69,High School,20,2746,5623,11.4,2.12,India,52.21
Research scientist (medical),Education,Increasing,Low,76886.03,Bachelor’s Degree,4,7239,5335,58.46,71.83,Germany,77.5
"Production assistant, television",Education,Increasing,Low,77689.88,Bachelor’s Degree,8,5167,2882,47.21,80.84,USA,72.24
Health and safety adviser,IT,Increasing,High,119833.76,Master’s Degree,4,7382,2436,90.02,0.52,Australia,79.62
Illustrator,Transportation,Increasing,Moderate,80792.13,Associate Degree,7,9318,6787,38.27,8.4,India,37.2
Trade union research officer,Finance,Decreasing,Low,138286.45,PhD,14,3294,391,52.79,0.0,China,50.6
Hydrographic surveyor,Education,Increasing,Moderate,73246.95,High School,6,1637,3244,51.33,1.09,Brazil,63.95
"Programme researcher, broadcasting/film/video",Healthcare,Decreasing,Moderate,96027.58,PhD,11,3403,9505,88.18,81.84,China,65.32
Wellsite geologist,Manufacturing,Increasing,Moderate,87971.58,Master’s Degree,11,8029,6729,58.67,82.26,Brazil,53.77
Investment analyst,IT,Decreasing,High,96476.92,Bachelor’s Degree,1,5041,1242,61.09,51.46,UK,20.86
Field trials officer,Retail,Increasing,High,69049.5,Master’s Degree,2,2824,2980,30.97,51.96,China,41.94
Civil Service fast streamer,Retail,Increasing,Low,75559.93,Associate Degree,11,6098,4562,99.52,78.74,Canada,68.94
"Accountant, chartered public finance",Finance,Decreasing,Low,126156.21,PhD,13,1663,767,41.14,60.55,Australia,79.62
Archaeologist,Retail,Increasing,Low,103897.01,Master’s Degree,19,5037,6534,29.94,60.44,China,74.09
Learning disability nurse,Finance,Increasing,Moderate,98377.87,Associate Degree,8,8046,2055,42.14,46.5,India,31.48
Water engineer,Entertainment,Decreasing,Moderate,82148.3,High School,18,8021,5141,38.5,78.46,Brazil,37.91
"Engineer, site",Healthcare,Increasing,Low,100962.12,High School,17,4536,4772,83.38,16.34,India,23.23
Careers information officer,Transportation,Increasing,Moderate,79990.5,Bachelor’s Degree,5,659,2141,92.79,2.15,China,74.03
Brewing technologist,Transportation,Increasing,High,108593.64,Master’s Degree,19,5355,6413,78.91,6.57,Brazil,27.26
Civil Service fast streamer,Retail,Decreasing,Low,109768.38,PhD,16,716,8051,61.29,27.94,India,36.03
Transport planner,Manufacturing,Increasing,Moderate,92338.35,Bachelor’s Degree,8,7466,2224,52.79,21.15,USA,72.74
Applications developer,Retail,Increasing,Moderate,98904.49,PhD,15,5058,3428,91.19,69.97,India,57.89
"Development worker, community",Manufacturing,Increasing,Low,104888.46,Bachelor’s Degree,19,7768,2735,0.85,57.78,Germany,46.72
Graphic designer,Retail,Increasing,High,95546.52,PhD,16,7523,6944,47.39,68.0,Brazil,37.87
"Administrator, sports",IT,Decreasing,Moderate,81673.7,Associate Degree,0,6588,9514,13.02,87.18,USA,44.84
Chief Strategy Officer,Entertainment,Decreasing,Moderate,96678.36,PhD,2,9050,9940,74.18,7.19,Germany,75.45
Regulatory affairs officer,Education,Increasing,Moderate,72421.74,High School,9,8934,8444,46.61,45.96,USA,20.72
"Teacher, special educational needs",Manufacturing,Decreasing,High,66590.81,Associate Degree,1,5697,1043,35.89,88.39,China,31.81
Drilling engineer,Retail,Decreasing,Low,64346.39,High School,1,8838,8034,81.52,51.55,Canada,55.03
"Designer, textile",Healthcare,Increasing,Low,102369.37,PhD,3,264,489,80.18,48.05,China,43.02
Data scientist,Entertainment,Decreasing,Low,72474.51,Associate Degree,11,2907,8754,40.36,81.95,Brazil,50.93
"Designer, blown glass/stained glass",Manufacturing,Increasing,Moderate,99973.97,Associate Degree,19,8612,4718,36.4,38.56,India,50.91
"Administrator, education",Retail,Increasing,Low,106648.77,Master’s Degree,19,2926,6095,34.6,13.5,China,32.98
Database administrator,Entertainment,Increasing,High,87540.88,Master’s Degree,0,3562,9416,2.75,31.04,UK,60.42
Personal assistant,Entertainment,Increasing,Moderate,111941.79,PhD,16,9573,7700,33.38,27.78,China,35.23
Optometrist,Finance,Increasing,Moderate,110284.93,Master’s Degree,10,6781,4901,6.18,31.95,UK,35.25
Automotive engineer,Entertainment,Increasing,High,108842.45,Master’s Degree,13,5568,2957,44.11,22.96,Canada,76.65
Publishing copy,Education,Decreasing,High,86858.93,Associate Degree,14,8671,5282,4.77,44.75,UK,44.04
Colour technologist,Retail,Increasing,Moderate,83946.18,PhD,1,5477,5670,66.8,59.95,China,21.96
Materials engineer,Finance,Increasing,Moderate,138296.5,Master’s Degree,19,3614,1085,47.37,49.21,UK,53.88
Geochemist,Healthcare,Increasing,Low,109731.61,Master’s Degree,5,7402,855,66.76,10.68,Germany,46.67
"Designer, jewellery",IT,Increasing,Low,139522.16,PhD,16,5850,4092,16.11,5.64,USA,64.11
Training and development officer,Manufacturing,Decreasing,Moderate,59908.49,High School,0,694,9687,13.09,100.0,India,35.36
Fitness centre manager,Transportation,Decreasing,High,72733.92,Bachelor’s Degree,7,5452,2668,46.31,98.43,UK,69.29
Chief Strategy Officer,Transportation,Decreasing,High,81525.22,Master’s Degree,2,167,1722,15.96,35.42,UK,71.5
Architectural technologist,Transportation,Increasing,Low,73816.62,Bachelor’s Degree,5,1269,4289,32.4,76.95,Germany,65.74
Clinical research associate,Transportation,Decreasing,High,96864.4,PhD,7,3948,4132,61.27,30.14,UK,75.23
Print production planner,Finance,Increasing,Moderate,108131.25,Master’s Degree,0,4888,4923,90.67,9.5,China,79.65
Glass blower/designer,Finance,Increasing,High,93744.92,Associate Degree,11,5280,5443,4.8,77.56,India,41.66
"Pharmacist, community",Manufacturing,Increasing,High,94638.36,Bachelor’s Degree,9,5527,7781,91.87,7.53,UK,40.14
IT technical support officer,Education,Increasing,High,80528.52,Associate Degree,10,6340,8202,29.88,40.71,USA,22.68
Drilling engineer,Transportation,Decreasing,Low,75578.93,High School,15,7868,3187,63.36,48.79,India,59.06
Private music teacher,Retail,Decreasing,Moderate,107854.25,PhD,18,7191,1200,58.83,62.48,USA,57.67
"Psychotherapist, dance movement",Manufacturing,Increasing,Moderate,101303.51,Associate Degree,18,6303,5461,27.99,54.02,Canada,31.67
Community arts worker,Retail,Increasing,Low,91730.6,Bachelor’s Degree,4,4614,1567,48.03,30.42,India,64.76
"Pharmacist, community",Entertainment,Decreasing,Low,80054.92,Associate Degree,5,7047,2681,85.28,11.11,Canada,33.33
Microbiologist,Retail,Increasing,High,78004.82,Bachelor’s Degree,5,6923,6440,41.1,57.74,Germany,36.84
"Designer, multimedia",Manufacturing,Decreasing,High,110260.83,Master’s Degree,20,1732,5983,88.96,43.23,UK,70.89
Marine scientist,Finance,Decreasing,High,115088.47,PhD,1,9609,5057,48.4,0.0,UK,37.1
Local government officer,Entertainment,Decreasing,High,58032.45,High School,1,7565,8577,71.82,72.03,China,54.66
Civil Service administrator,Healthcare,Decreasing,Moderate,90820.76,High School,12,5833,841,47.87,25.15,UK,53.85
"Doctor, hospital",Finance,Increasing,Moderate,123972.53,Master’s Degree,20,9979,3585,93.83,62.51,Australia,38.9
Automotive engineer,Education,Increasing,Low,72612.78,High School,7,9277,5585,81.69,40.87,Brazil,45.57
Public librarian,Transportation,Increasing,High,90626.0,Associate Degree,7,6814,8712,67.39,10.78,Canada,71.64
Theatre manager,Finance,Decreasing,Moderate,122551.48,Associate Degree,15,9050,7835,1.5,37.33,Germany,33.51
Fisheries officer,Transportation,Decreasing,Moderate,61526.89,High School,7,5380,9200,99.51,70.12,Brazil,74.9
Historic buildings inspector/conservation officer,Finance,Decreasing,Moderate,107964.82,High School,14,9710,4544,61.29,0.0,China,72.47
Manufacturing engineer,Manufacturing,Increasing,Low,109394.77,PhD,15,587,4384,53.53,5.15,USA,64.14
Building surveyor,Healthcare,Increasing,High,81469.89,High School,7,2065,2211,41.76,4.88,India,78.82
Engineering geologist,Education,Increasing,High,75981.12,Bachelor’s Degree,0,7944,6512,29.41,86.68,India,22.82
"Doctor, general practice",Finance,Increasing,High,116908.34,PhD,2,8251,2726,23.3,0.0,Canada,71.64
Musician,Finance,Decreasing,Moderate,126990.18,PhD,15,9895,5880,61.66,44.07,Australia,75.77
Diagnostic radiographer,Retail,Decreasing,High,72858.26,Bachelor’s Degree,4,6759,8987,50.84,61.09,Brazil,41.01
"Designer, multimedia",Entertainment,Decreasing,Low,83745.06,Master’s Degree,1,8506,2753,57.05,65.04,UK,55.23
Illustrator,Transportation,Decreasing,Low,90394.47,Master’s Degree,12,1075,309,65.7,51.97,USA,76.65
Trade union research officer,Education,Increasing,Moderate,82865.96,Bachelor’s Degree,8,6866,3658,19.88,50.72,UK,70.28
Chief Technology Officer,Education,Increasing,High,84102.36,Associate Degree,18,3830,1894,52.35,41.45,UK,74.3
"Nurse, children's",Transportation,Decreasing,High,69711.73,High School,17,6678,8121,65.95,83.64,China,36.52
Agricultural engineer,Education,Decreasing,Low,85124.91,Master’s Degree,11,5784,2215,18.92,84.42,Brazil,68.3
Video editor,Entertainment,Increasing,High,107976.8,Bachelor’s Degree,19,2734,6390,34.83,25.02,Germany,24.89
Early years teacher,Transportation,Increasing,Moderate,58450.23,High School,1,4221,504,83.97,63.75,Germany,57.56
Animator,Retail,Increasing,Moderate,104760.16,PhD,14,1977,5854,58.81,41.57,USA,31.66
Haematologist,Manufacturing,Increasing,High,75566.94,Associate Degree,10,7111,3352,22.68,82.59,Germany,70.87
Pathologist,Manufacturing,Decreasing,Low,111591.46,PhD,20,148,6732,32.35,2.41,UK,24.02
"Nurse, children's",IT,Increasing,Moderate,105706.27,PhD,4,4737,1811,33.62,57.46,Australia,77.71
Sub,Education,Decreasing,Low,87429.79,Bachelor’s Degree,20,6382,1707,51.99,75.78,China,34.82
"Librarian, academic",Education,Increasing,High,65374.08,High School,6,223,3523,64.96,58.52,India,60.52
Estate agent,Transportation,Increasing,High,80866.3,Master’s Degree,12,4949,9632,48.94,70.25,USA,70.68
"Editor, magazine features",Finance,Decreasing,Low,115665.33,Master’s Degree,9,7226,6225,92.4,40.03,Australia,69.32
Volunteer coordinator,Retail,Increasing,Low,102508.8,Associate Degree,20,5265,3742,26.43,0.0,UK,72.92
Government social research officer,Transportation,Decreasing,Moderate,109469.95,PhD,16,1700,3843,56.96,27.03,USA,33.95
"Engineer, drilling",Education,Decreasing,Low,107362.64,Master’s Degree,18,6669,5420,79.18,0.0,Canada,64.02
"Therapist, nutritional",Healthcare,Decreasing,Low,79682.19,High School,17,3902,6010,69.52,67.37,Brazil,27.08
Clinical psychologist,Entertainment,Increasing,Moderate,112417.66,PhD,16,4502,6192,94.13,15.28,Canada,47.21
"Doctor, hospital",Manufacturing,Decreasing,Moderate,80688.57,High School,14,6587,3182,1.26,83.06,USA,32.2
Facilities manager,Manufacturing,Decreasing,Low,85840.72,Associate Degree,9,3113,2747,16.08,29.17,Australia,27.85
Press sub,Retail,Increasing,High,78395.97,Associate Degree,13,145,4192,95.64,52.39,USA,75.12
Tax inspector,Education,Decreasing,Moderate,93346.47,High School,18,7659,3959,36.73,59.83,Brazil,22.22
Retail merchandiser,Healthcare,Decreasing,High,100134.61,Associate Degree,17,8064,4536,28.95,33.01,Germany,58.97
Drilling engineer,Retail,Increasing,Low,114166.84,Master’s Degree,13,592,5214,84.26,35.79,India,59.49
Educational psychologist,Healthcare,Increasing,Moderate,128699.09,PhD,16,8385,7810,46.7,4.24,UK,49.75
